Episode: 103, Reward: -21.0 | Mean reward: -20.23
Episode: 104, Reward: -19.0 | Mean reward: -20.21
Episode: 105, Reward: -21.0 | Mean reward: -20.22
Episode: 106, Reward: -21.0 | Mean reward: -20.22
Episode: 107, Reward: -21.0 | Mean reward: -20.22
Episode: 108, Reward: -21.0 | Mean reward: -20.23
Episode: 109, Reward: -21.0 | Mean reward: -20.23
Episode: 110, Reward: -20.0 | Mean reward: -20.23
Episode: 111, Reward: -20.0 | Mean reward: -20.24
Episode: 112, Reward: -20.0 | Mean reward: -20.25
Episode: 113, Reward: -20.0 | Mean reward: -20.24
Episode: 114, Reward: -19.0 | Mean reward: -20.23
Episode: 115, Reward: -20.0 | Mean reward: -20.22
Episode: 116, Reward: -21.0 | Mean reward: -20.23
Episode: 117, Reward: -21.0 | Mean reward: -20.24
Episode: 118, Reward: -19.0 | Mean reward: -20.23
Episode: 119, Reward: -21.0 | Mean reward: -20.24
Episode: 120, Reward: -19.0 | Mean reward: -20.22
Episode: 121, Reward: -20.0 | Mean reward: -20.22
Episode: 122, Reward: -19.0 | Mean reward: -20.2
Episode: 123, Reward: -20.0 | Mean reward: -20.19
Episode: 124, Reward: -21.0 | Mean reward: -20.21
Episode: 125, Reward: -19.0 | Mean reward: -20.2
Episode: 126, Reward: -21.0 | Mean reward: -20.21
Episode: 127, Reward: -21.0 | Mean reward: -20.23
Episode: 128, Reward: -20.0 | Mean reward: -20.22
Episode: 129, Reward: -18.0 | Mean reward: -20.2
Episode: 130, Reward: -20.0 | Mean reward: -20.22
Episode: 131, Reward: -20.0 | Mean reward: -20.22
Episode: 132, Reward: -21.0 | Mean reward: -20.22
Episode: 133, Reward: -19.0 | Mean reward: -20.21
Episode: 134, Reward: -21.0 | Mean reward: -20.23
Episode: 135, Reward: -20.0 | Mean reward: -20.24
Episode: 136, Reward: -21.0 | Mean reward: -20.27
Episode: 137, Reward: -20.0 | Mean reward: -20.26
Episode: 138, Reward: -19.0 | Mean reward: -20.24
Episode: 139, Reward: -20.0 | Mean reward: -20.24
Episode: 140, Reward: -18.0 | Mean reward: -20.23
Episode: 141, Reward: -20.0 | Mean reward: -20.23
Episode: 142, Reward: -20.0 | Mean reward: -20.22
Episode: 143, Reward: -20.0 | Mean reward: -20.23
Episode: 144, Reward: -17.0 | Mean reward: -20.21
Episode: 145, Reward: -21.0 | Mean reward: -20.21
Episode: 146, Reward: -19.0 | Mean reward: -20.19
Episode: 147, Reward: -19.0 | Mean reward: -20.19
Episode: 148, Reward: -20.0 | Mean reward: -20.19
Episode: 149, Reward: -21.0 | Mean reward: -20.2
Episode: 150, Reward: -20.0 | Mean reward: -20.2
Episode: 151, Reward: -21.0 | Mean reward: -20.21
Episode: 152, Reward: -21.0 | Mean reward: -20.21
Episode: 153, Reward: -21.0 | Mean reward: -20.21
Episode: 154, Reward: -20.0 | Mean reward: -20.2
Episode: 155, Reward: -19.0 | Mean reward: -20.19
Episode: 156, Reward: -21.0 | Mean reward: -20.2
Episode: 157, Reward: -19.0 | Mean reward: -20.18
Episode: 158, Reward: -19.0 | Mean reward: -20.17
Episode: 159, Reward: -17.0 | Mean reward: -20.13
Episode: 160, Reward: -19.0 | Mean reward: -20.12
Episode: 161, Reward: -20.0 | Mean reward: -20.12
Episode: 162, Reward: -20.0 | Mean reward: -20.11
Episode: 163, Reward: -21.0 | Mean reward: -20.12
Episode: 164, Reward: -20.0 | Mean reward: -20.12
Episode: 165, Reward: -20.0 | Mean reward: -20.12
Episode: 166, Reward: -17.0 | Mean reward: -20.08
Episode: 167, Reward: -19.0 | Mean reward: -20.06
Episode: 168, Reward: -19.0 | Mean reward: -20.04
Episode: 169, Reward: -20.0 | Mean reward: -20.06
